region,DateRep,Cases,Deaths,population
AVI,2020-01-01T00:00:00Z,0,0,1077659
FVI,2020-01-01T00:00:00Z,0,0,698912
GFL,2020-01-01T00:00:00Z,0,0,1189947
GOE,2020-01-01T00:00:00Z,0,0,792895
MOS,2020-01-01T00:00:00Z,0,0,916252
PNN,2020-01-01T00:00:00Z,0,0,1400128
SC,2020-01-01T00:00:00Z,0,0,7252502
SUL,2020-01-01T00:00:00Z,0,0,999701
AVI,2020-01-02T00:00:00Z,0,0,1077659
FVI,2020-01-02T00:00:00Z,0,0,698912
GFL,2020-01-02T00:00:00Z,0,0,1189947
GOE,2020-01-02T00:00:00Z,0,0,792895
MOS,2020-01-02T00:00:00Z,0,0,916252
PNN,2020-01-02T00:00:00Z,0,0,1400128
SC,2020-01-02T00:00:00Z,0,0,7252502
SUL,2020-01-02T00:00:00Z,0,0,999701
AVI,2020-01-03T00:00:00Z,0,0,1077659
FVI,2020-01-03T00:00:00Z,0,0,698912
GFL,2020-01-03T00:00:00Z,0,0,1189947
GOE,2020-01-03T00:00:00Z,0,0,792895
MOS,2020-01-03T00:00:00Z,0,0,916252
PNN,2020-01-03T00:00:00Z,0,0,1400128
SC,2020-01-03T00:00:00Z,0,0,7252502
SUL,2020-01-03T00:00:00Z,0,0,999701
AVI,2020-01-04T00:00:00Z,0,0,1077659
FVI,2020-01-04T00:00:00Z,0,0,698912
GFL,2020-01-04T00:00:00Z,0,0,1189947
GOE,2020-01-04T00:00:00Z,0,0,792895
MOS,2020-01-04T00:00:00Z,0,0,916252
PNN,2020-01-04T00:00:00Z,0,0,1400128
SC,2020-01-04T00:00:00Z,0,0,7252502
SUL,2020-01-04T00:00:00Z,0,0,999701
AVI,2020-01-05T00:00:00Z,0,0,1077659
FVI,2020-01-05T00:00:00Z,0,0,698912
GFL,2020-01-05T00:00:00Z,0,0,1189947
GOE,2020-01-05T00:00:00Z,0,0,792895
MOS,2020-01-05T00:00:00Z,0,0,916252
PNN,2020-01-05T00:00:00Z,0,0,1400128
SC,2020-01-05T00:00:00Z,0,0,7252502
SUL,2020-01-05T00:00:00Z,0,0,999701
AVI,2020-01-06T00:00:00Z,0,0,1077659
FVI,2020-01-06T00:00:00Z,0,0,698912
GFL,2020-01-06T00:00:00Z,0,0,1189947
GOE,2020-01-06T00:00:00Z,0,0,792895
MOS,2020-01-06T00:00:00Z,0,0,916252
PNN,2020-01-06T00:00:00Z,0,0,1400128
SC,2020-01-06T00:00:00Z,0,0,7252502
SUL,2020-01-06T00:00:00Z,0,0,999701
AVI,2020-01-07T00:00:00Z,0,0,1077659
FVI,2020-01-07T00:00:00Z,0,0,698912
GFL,2020-01-07T00:00:00Z,0,0,1189947
GOE,2020-01-07T00:00:00Z,0,0,792895
MOS,2020-01-07T00:00:00Z,0,0,916252
PNN,2020-01-07T00:00:00Z,0,0,1400128
SC,2020-01-07T00:00:00Z,0,0,7252502
SUL,2020-01-07T00:00:00Z,0,0,999701
AVI,2020-01-08T00:00:00Z,0,0,1077659
FVI,2020-01-08T00:00:00Z,0,0,698912
GFL,2020-01-08T00:00:00Z,0,0,1189947
GOE,2020-01-08T00:00:00Z,0,0,792895
MOS,2020-01-08T00:00:00Z,0,0,916252
PNN,2020-01-08T00:00:00Z,0,0,1400128
SC,2020-01-08T00:00:00Z,0,0,7252502
SUL,2020-01-08T00:00:00Z,0,0,999701
AVI,2020-01-09T00:00:00Z,0,0,1077659
FVI,2020-01-09T00:00:00Z,0,0,698912
GFL,2020-01-09T00:00:00Z,0,0,1189947
GOE,2020-01-09T00:00:00Z,0,0,792895
MOS,2020-01-09T00:00:00Z,0,0,916252
PNN,2020-01-09T00:00:00Z,0,0,1400128
SC,2020-01-09T00:00:00Z,0,0,7252502
SUL,2020-01-09T00:00:00Z,0,0,999701
AVI,2020-01-10T00:00:00Z,0,0,1077659
FVI,2020-01-10T00:00:00Z,0,0,698912
GFL,2020-01-10T00:00:00Z,0,0,1189947
GOE,2020-01-10T00:00:00Z,0,0,792895
MOS,2020-01-10T00:00:00Z,0,0,916252
PNN,2020-01-10T00:00:00Z,0,0,1400128
SC,2020-01-10T00:00:00Z,0,0,7252502
SUL,2020-01-10T00:00:00Z,0,0,999701
AVI,2020-01-11T00:00:00Z,0,0,1077659
FVI,2020-01-11T00:00:00Z,0,0,698912
GFL,2020-01-11T00:00:00Z,0,0,1189947
GOE,2020-01-11T00:00:00Z,0,0,792895
MOS,2020-01-11T00:00:00Z,0,0,916252
PNN,2020-01-11T00:00:00Z,0,0,1400128
SC,2020-01-11T00:00:00Z,0,0,7252502
SUL,2020-01-11T00:00:00Z,0,0,999701
AVI,2020-01-12T00:00:00Z,0,0,1077659
FVI,2020-01-12T00:00:00Z,0,0,698912
GFL,2020-01-12T00:00:00Z,0,0,1189947
GOE,2020-01-12T00:00:00Z,0,0,792895
MOS,2020-01-12T00:00:00Z,0,0,916252
PNN,2020-01-12T00:00:00Z,0,0,1400128
SC,2020-01-12T00:00:00Z,0,0,7252502
SUL,2020-01-12T00:00:00Z,0,0,999701
AVI,2020-01-13T00:00:00Z,0,0,1077659
FVI,2020-01-13T00:00:00Z,0,0,698912
GFL,2020-01-13T00:00:00Z,0,0,1189947
GOE,2020-01-13T00:00:00Z,0,0,792895
MOS,2020-01-13T00:00:00Z,0,0,916252
PNN,2020-01-13T00:00:00Z,0,0,1400128
SC,2020-01-13T00:00:00Z,0,0,7252502
SUL,2020-01-13T00:00:00Z,0,0,999701
AVI,2020-01-14T00:00:00Z,0,0,1077659
FVI,2020-01-14T00:00:00Z,0,0,698912
GFL,2020-01-14T00:00:00Z,0,0,1189947
GOE,2020-01-14T00:00:00Z,0,0,792895
MOS,2020-01-14T00:00:00Z,0,0,916252
PNN,2020-01-14T00:00:00Z,0,0,1400128
SC,2020-01-14T00:00:00Z,0,0,7252502
SUL,2020-01-14T00:00:00Z,0,0,999701
AVI,2020-01-15T00:00:00Z,0,0,1077659
FVI,2020-01-15T00:00:00Z,0,0,698912
GFL,2020-01-15T00:00:00Z,0,0,1189947
GOE,2020-01-15T00:00:00Z,0,0,792895
MOS,2020-01-15T00:00:00Z,0,0,916252
PNN,2020-01-15T00:00:00Z,0,0,1400128
SC,2020-01-15T00:00:00Z,0,0,7252502
SUL,2020-01-15T00:00:00Z,0,0,999701
AVI,2020-01-16T00:00:00Z,0,0,1077659
FVI,2020-01-16T00:00:00Z,0,0,698912
GFL,2020-01-16T00:00:00Z,0,0,1189947
GOE,2020-01-16T00:00:00Z,0,0,792895
MOS,2020-01-16T00:00:00Z,0,0,916252
PNN,2020-01-16T00:00:00Z,0,0,1400128
SC,2020-01-16T00:00:00Z,0,0,7252502
SUL,2020-01-16T00:00:00Z,0,0,999701
AVI,2020-01-17T00:00:00Z,0,0,1077659
FVI,2020-01-17T00:00:00Z,0,0,698912
GFL,2020-01-17T00:00:00Z,0,0,1189947
GOE,2020-01-17T00:00:00Z,0,0,792895
MOS,2020-01-17T00:00:00Z,0,0,916252
PNN,2020-01-17T00:00:00Z,0,0,1400128
SC,2020-01-17T00:00:00Z,0,0,7252502
SUL,2020-01-17T00:00:00Z,0,0,999701
AVI,2020-01-18T00:00:00Z,0,0,1077659
FVI,2020-01-18T00:00:00Z,0,0,698912
GFL,2020-01-18T00:00:00Z,0,0,1189947
GOE,2020-01-18T00:00:00Z,0,0,792895
MOS,2020-01-18T00:00:00Z,0,0,916252
PNN,2020-01-18T00:00:00Z,0,0,1400128
SC,2020-01-18T00:00:00Z,0,0,7252502
SUL,2020-01-18T00:00:00Z,0,0,999701
AVI,2020-01-19T00:00:00Z,0,0,1077659
FVI,2020-01-19T00:00:00Z,0,0,698912
GFL,2020-01-19T00:00:00Z,0,0,1189947
GOE,2020-01-19T00:00:00Z,0,0,792895
MOS,2020-01-19T00:00:00Z,0,0,916252
PNN,2020-01-19T00:00:00Z,0,0,1400128
SC,2020-01-19T00:00:00Z,0,0,7252502
SUL,2020-01-19T00:00:00Z,0,0,999701
AVI,2020-01-20T00:00:00Z,0,0,1077659
FVI,2020-01-20T00:00:00Z,0,0,698912
GFL,2020-01-20T00:00:00Z,0,0,1189947
GOE,2020-01-20T00:00:00Z,0,0,792895
MOS,2020-01-20T00:00:00Z,0,0,916252
PNN,2020-01-20T00:00:00Z,0,0,1400128
SC,2020-01-20T00:00:00Z,0,0,7252502
SUL,2020-01-20T00:00:00Z,0,0,999701
AVI,2020-01-21T00:00:00Z,0,0,1077659
FVI,2020-01-21T00:00:00Z,0,0,698912
GFL,2020-01-21T00:00:00Z,0,0,1189947
GOE,2020-01-21T00:00:00Z,0,0,792895
MOS,2020-01-21T00:00:00Z,0,0,916252
PNN,2020-01-21T00:00:00Z,0,0,1400128
SC,2020-01-21T00:00:00Z,0,0,7252502
SUL,2020-01-21T00:00:00Z,0,0,999701
AVI,2020-01-22T00:00:00Z,0,0,1077659
FVI,2020-01-22T00:00:00Z,0,0,698912
GFL,2020-01-22T00:00:00Z,0,0,1189947
GOE,2020-01-22T00:00:00Z,0,0,792895
MOS,2020-01-22T00:00:00Z,0,0,916252
PNN,2020-01-22T00:00:00Z,0,0,1400128
SC,2020-01-22T00:00:00Z,0,0,7252502
SUL,2020-01-22T00:00:00Z,0,0,999701
AVI,2020-01-23T00:00:00Z,0,0,1077659
FVI,2020-01-23T00:00:00Z,0,0,698912
GFL,2020-01-23T00:00:00Z,0,0,1189947
GOE,2020-01-23T00:00:00Z,0,0,792895
MOS,2020-01-23T00:00:00Z,0,0,916252
PNN,2020-01-23T00:00:00Z,0,0,1400128
SC,2020-01-23T00:00:00Z,0,0,7252502
SUL,2020-01-23T00:00:00Z,0,0,999701
AVI,2020-01-24T00:00:00Z,0,0,1077659
FVI,2020-01-24T00:00:00Z,0,0,698912
GFL,2020-01-24T00:00:00Z,0,0,1189947
GOE,2020-01-24T00:00:00Z,0,0,792895
MOS,2020-01-24T00:00:00Z,0,0,916252
PNN,2020-01-24T00:00:00Z,0,0,1400128
SC,2020-01-24T00:00:00Z,0,0,7252502
SUL,2020-01-24T00:00:00Z,0,0,999701
AVI,2020-01-25T00:00:00Z,0,0,1077659
FVI,2020-01-25T00:00:00Z,0,0,698912
GFL,2020-01-25T00:00:00Z,0,0,1189947
GOE,2020-01-25T00:00:00Z,0,0,792895
MOS,2020-01-25T00:00:00Z,0,0,916252
PNN,2020-01-25T00:00:00Z,0,0,1400128
SC,2020-01-25T00:00:00Z,0,0,7252502
SUL,2020-01-25T00:00:00Z,0,0,999701
AVI,2020-01-26T00:00:00Z,0,0,1077659
FVI,2020-01-26T00:00:00Z,0,0,698912
GFL,2020-01-26T00:00:00Z,0,0,1189947
GOE,2020-01-26T00:00:00Z,0,0,792895
MOS,2020-01-26T00:00:00Z,0,0,916252
PNN,2020-01-26T00:00:00Z,0,0,1400128
SC,2020-01-26T00:00:00Z,0,0,7252502
SUL,2020-01-26T00:00:00Z,0,0,999701
AVI,2020-01-27T00:00:00Z,0,0,1077659
FVI,2020-01-27T00:00:00Z,0,0,698912
GFL,2020-01-27T00:00:00Z,0,0,1189947
GOE,2020-01-27T00:00:00Z,0,0,792895
MOS,2020-01-27T00:00:00Z,0,0,916252
PNN,2020-01-27T00:00:00Z,0,0,1400128
SC,2020-01-27T00:00:00Z,0,0,7252502
SUL,2020-01-27T00:00:00Z,0,0,999701
AVI,2020-01-28T00:00:00Z,0,0,1077659
